pulseLength,rpm
516.0,51.46
540.0,49.34
565.0,47.06
593.0,44.74
624.0,42.61
661.0,40.24
696.0,38.22
743.0,35.99
787.0,33.82
845.0,31.66
905.0,29.59
937.0,27.45
1038.0,25.45
1132.0,23.46
1243.0,21.45
1371.0,19.46
1521.0,17.54
1702.0,15.65
1987.0,13.44
2238.0,11.92
2648.0,10.1
3307.0,8.06
4201.0,6.33
5967.0,4.48
16952.0,2.57
